Mon Sep 11 17:12:27 EDT 2023: Initial number of files in the output directory:        0
Mon Sep 11 17:12:27 EDT 2023: Cleaning up the codebase directory...
Mon Sep 11 17:12:27 EDT 2023: Generating project tree...
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/blog-home-image/About-NY.jpg Encoder:./codebase/content_23.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/blog-home-image/WED-37.jpg Encoder:./codebase/content_23.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/quote.png Encoder:./codebase/content_24.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/logo.png Encoder:./codebase/content_25.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/line-bg.png Encoder:./codebase/content_25.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/2.jpg Encoder:./codebase/content_25.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/coming-soon-banner.jpg Encoder:./codebase/content_26.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/images/bg-shape.jpg Encoder:./codebase/content_26.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/Dockerfile Encoder:./codebase/content_27.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/.well-known/acme-challenge/Hgm1C9wVCJ2in-pVO8wQPkXonUjQW1TynkINPKczQ1g Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/next.config.js Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/declaration.d.ts Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/utils/constants.js Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/utils/google-analytics/index.js Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/utils/apolloClient.js Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/utils/hostname.js Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/utils/ActiveLink.js Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/.devcontainer/Dockerfile Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/.devcontainer/devcontainer.json Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/next-env.d.ts Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/README.md Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/home/Banner.tsx Encoder:./codebase/content_28.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/Post.tsx Encoder:./codebase/content_29.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/typedReact.jsx Encoder:./codebase/content_29.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/Works.tsx Encoder:./codebase/content_30.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/Services.js Encoder:./codebase/content_30.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/barSkill.jsx Encoder:./codebase/content_30.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/layout/SearchForm.js Encoder:./codebase/content_30.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/layout/SideDrawer.js Encoder:./codebase/content_31.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/pie-chart/FullOption.tsx Encoder:./codebase/content_31.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Partner.js Encoder:./codebase/content_31.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Works.js Encoder:./codebase/content_31.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Feedback.js Encoder:./codebase/content_32.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/HowWeWork.js Encoder:./codebase/content_32.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Funfacts.js Encoder:./codebase/content_33.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Team.js Encoder:./codebase/content_33.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/About.js Encoder:./codebase/content_33.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Features.js Encoder:./codebase/content_33.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Boxes.js Encoder:./codebase/content_33.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Skills.js Encoder:./codebase/content_34.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Blog.js Encoder:./codebase/content_34.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Contact.js Encoder:./codebase/content_34.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/Banner.js Encoder:./codebase/content_34.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/startup-agency-animation/WhyChooseUs.js Encoder:./codebase/content_35.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/shared/Navbar.tsx Encoder:./codebase/content_35.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/shared/Footer.tsx Encoder:./codebase/content_35.md
Mon Sep 11 17:12:32 EDT 2023: Processing file: ./apps/client/components/shared/GoTop.js Encoder:./codebase/content_36.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/shared/Loader.js Encoder:./codebase/content_36.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Feedback.js Encoder:./codebase/content_36.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Funfacts.js Encoder:./codebase/content_36.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Team.js Encoder:./codebase/content_36.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/About.js Encoder:./codebase/content_37.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Education.jsx Encoder:./codebase/content_37.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Services.tsx Encoder:./codebase/content_37.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Skills.js Encoder:./codebase/content_37.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/about/Contact.js Encoder:./codebase/content_38.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/parallax/ParallaxHomeComponent.jsx Encoder:./codebase/content_38.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/Blog.tsx Encoder:./codebase/content_38.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/Funfacts.tsx Encoder:./codebase/content_38.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/components/Skills.tsx Encoder:./codebase/content_38.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/.dockerignore Encoder:./codebase/content_38.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/public/sitemap.xml Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/public/robots.txt Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/.gitignore Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/package.json Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/.nvmrc Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/server.mjs Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/tsconfig.server.json Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/tsconfig.json Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/check_node_version.js Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/bootstrap.min.css Encoder:./codebase/content_39.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/animate.min.css Encoder:./codebase/content_40.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/style.css.map Encoder:./codebase/content_40.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/custom.scss Encoder:./codebase/content_40.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/icofont.min.css Encoder:./codebase/content_40.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/responsive.css Encoder:./codebase/content_41.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/style.scss Encoder:./codebase/content_41.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/style.css Encoder:./codebase/content_42.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/responsive.css.map Encoder:./codebase/content_43.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/styles/responsive.scss Encoder:./codebase/content_43.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/fonts/icofont.ttf Encoder:./codebase/content_43.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/fonts/icofont.eot Encoder:./codebase/content_44.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/fonts/icofont.woff2 Encoder:./codebase/content_45.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/fonts/icofont.svg Encoder:./codebase/content_46.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/assets/fonts/icofont.woff Encoder:./codebase/content_47.md
Mon Sep 11 17:12:33 EDT 2023: Processing file: ./apps/client/pages/index.tsx Encoder:./codebase/content_48.md
